State Name,Population,Population per sq km
Uttar Pradesh,199812341,828
Maharashtra,112374333,365
Bihar,104099452,1102
West Bengal,91276115,1029
Madhya Pradesh,72626809,236
Tamil Nadu,72147030,555
Rajasthan,68548437,201
Karnataka,61095297,319
Gujarat,60439692,308
Andhra Pradesh,49577103,303
Odisha,41974219,269
Telangana,35003674,312
Kerala,33406061,859
Jharkhand,32988134,414
Assam,31205576,397
Punjab,27743338,550
Chhattisgarh,25545198,189
Haryana,25351462,573
Delhi,16787941,11297
Jammu and Kashmir,12267032,297
Uttarakhand,10086292,189
Himachal Pradesh,6864602,123
Tripura,3673917,350
Meghalaya,2966889,132
Manipur,2570390,122
Nagaland,1978502,119
Goa,1458545,394
Arunachal Pradesh,1383727,17
Puducherry,1247953,2598
Mizoram,1097206,52
Chandigarh,1055450,9252
Sikkim,610577,86
Dadra and Nagar Haveli and Daman and Diu,585764,970
Andaman and Nicobar Islands,380581,46
Ladakh,274000,2.8
Lakshadweep,64473,2013
